DescriptionArea;Response
 Hallo zusammen, ich arbeite aktuell in Elternteilzeit Mi-Fr 24h pro Woche. Die Elternteilzeit ist befristet bis einschließlich . Ab dem arbeite ich  30h pro Woche. In Absprache mit meiner HR-Businesspartnerin habe ich entsprechend Wahlarbeitszeit beantragt. Ihr zufolge bleibt die Elternteilzeit bis zum Ablauf bestehen und geht danach über in die per WAZ beantragten Stunden. Jetzt wurde in Chronos allerdings schon ab dem  auf 30h geändert. Dies ist nicht korrekt. Daher bitte ich um Korrektur in Chronos: Bis einschließlich  arbeite ich Mi-Fr 24h, danach  30h. Alle Anträge sowie die Bestätigung dieses Vorgehens habe ich ans Ticket gehängt. Ich bitte um zeitnahe Bearbeitung da der betroffene Zeitraum bereits nächste Woche beginnt;"HR Operations Task: needs correction in SAP as ""Elternzeit"" / ""Parental Leave"" is a SAP leading type"
 Hallo, ich war auf Dienstreise. Wenn ich in der Zeiterfassung unter Art “Dienstreise Inland” auswähle und versuche das zu speichern, wirft das System einen generischen Fehler. (Allgemein wirft  ausschließlich nur denselben generischen Fehler, egal um welche Fehler es tatsächlich geht – nicht sehr hilfreich.)  ;HR Operations Task: manual override
 Ich bin seit zurück aus der Elternzeit. In Chronos ist die Elternzeit allerdings noch nicht beendet. ;"HR Operations Task: needs correction in SAP as ""Elternzeit"" / ""Parental Leave"" is a SAP leading type"
 Urlaub wird im Tool nicht korrekt angezeigt. Kurzfristig wurden wieder die korrekten Tage angezeigt. Jetzt wieder weniger Tage.   ;HR Operations Task: check mismatch annual leave days
" Hi all,  cannot login to Chronos anymore.  login the message  ""KPIs konnten nicht geladen werden"" is shown.  Edge and Firefox (see attached images). Restarting my Computer, deleting all browser history data and login data did not help. ";HR Operations Task: duplicate entries for anniversary
 Beim Versuch, die Dienstreise in Chronos nachzutragen, erscheint eine Fehlermeldung. Andere Eintragungen wie z.B. mobile Arbeit sind möglich. Fehler trat das erste Mal am auf und besteht seitdem.  ;HR Operations Task: manual override
 Hallo zusammen, ich müsste eine Dienstreise ins Ausland von bis (inkl. Zeiten) eintragen, erhalte aber die angehängte Fehlermeldung.  ihr mir in diesem Fall helfen? ;HR Operations Task: manual override
 Guten Tag, da ich zum die Firma verlasse möchte ich meinen eingetragenen Urlaub für Dezember in CHRONOS wieder stornieren. Können sie mir hierbei bitte behilflich sein da ich keine Änderung vornehmen kann. ;"Please cancel your planned annual leave days by navigating to the ""request"" / ""Antr�ge"" tab and create a new request for annual leave."
 Guten Tag, da ich zum die Firma CARIAD verlasse möchte ich meinen eingetragenen Urlaub für Dezember in CHRONOS wieder stornieren. Können sie mir hierbei bitte behilflich sein da ich keine Änderung vornehmen kann. ;"Please cancel your planned annual leave days by navigating to the ""request"" / ""Antr�ge"" tab and create a new request for annual leave."
" I am writing to seek your assistance regarding an issue I encountered with my time recording in Chronos. , I changed my time recording mode to ""documentation mode"" in April. As a result, I was unable to update my working hours. There are additional hours that remain unrecorded in Chronos I have attached an  where I recorded these hours, and I have also shared this information with my manager. I kindly request your assistance in adding these hours to my Chronos records.";"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 I will leave CARIAD on . I need to erase my vacation days from and move them to another month, but I get an error when I try to. (“Entschuldige, gerade kann das System keine Änderungen verarbeiten.  versuche es später erneut”).  days but the  is always being displayed. Please erase my vacation days from december, so that I can plan them before I leave the company;"Please cancel your planned annual leave days by navigating to the ""request"" / ""Antr�ge"" tab and create a new request for annual leave."
 Hallo, ich erhalte Emails in denen steht, dass ich für dieses Jahr nur 4 Urlaubstage genommen habe und noch ein Resturlaub von Tagen habe. Das stimmt aber nicht. In chronos is es deutlich zu sehen, dass ich bereits Tage Urlaub genommen habe und die restlichen sind bereits verplant;HR Operations Task: check mismatch annual leave days
 Guten Morgen liebes HR Team, ich bekomme seit Tagen Mails zu meine Resturlaub.  Die Angaben stimmen nicht mit Chronos �berein und ich verstehe auch nicht warum ich die E-Mail jetzt so häufig bekomme.  K�nnt ihr das bitte prüfen? ;HR Operations Task: check mismatch annual leave days
 Hallo, ich habe heute die Erinnerungsmail erhalten, meinen Resturlaub zu verplanen. Die Angaben dort stimmen hinten und vorne nich: Ich soll noch Urlaubstage haben, davon 0 verplant.  Im 2. Screenshot aus  ist es korrekt dargestellt, ich hatte 10 RU Tage aus dem Vorjahr, nun habe ich nach allem noch UT offen, die auch komplett im n�chsten Jahr verplant sind. Muss ich irgendwie aktiv werden? ;HR Operations Task: check mismatch annual leave days
   I am unable to enter hours manually in the hours field. I have only three options <8,>8 and >10.;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 Ich habe keinen Zugang mehr zu Chronos, Problem wurde mit Hotline mit verschiedenen Browsern bereits versucht, aber ohne Erfolg: Das war der Link: https://hr.portal.prd.eu.bp.aws.cloud.vwgroup.com/time-management/ ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hi, ich habe das Gefühl, dass bei mir in Chronos die Anzahl der verbleibenden bzw. der entnommenen Urlaubstage nicht korrekt ist. Besteht die Möglichkeit das in einem kurzen Termin gemeinsam zu prüfen?  ;HR Operations Task: check mismatch annual leave days
 Hallo! ich habe heute die Aufforderung bekommen Resturlaub zu verplanen. Chronos zeigt hier was anderes an, welche Datenbasis stimmt? ;HR Operations Task: check mismatch annual leave days
 Hi zusammen, ich glaube bei mir stimmt im Chronos das Urlaubskontingent nicht, da ich als Werkstudentin nur für ein halbes Jahr beschäftigt bin.  ihr da bitte nochmal drüberschauen und das entsprechend anpassen?;HR Operations Task: check mismatch annual leave days
 Hallo, ich muss in  einen Urlaub durch Krankheit ersetzen. Wie kann ich einen bestehenden Urlaub “stornieren”? Wenn ich versuche, Urlaubszeitraum zu kürzen, bekomme ich eine Meldung, dass das Überschreiben nicht möglich ist und ich den Antrag zuerst stornieren muss.   ;"Please cancel your planned annual leave days by navigating to the ""request"" / ""Antr�ge"" tab and create a new request for annual leave."
 Hi zusammen,  bitte um Prüfung der Chronos Urlaubstage bei  meinem Mitarbeiter. Er hat derzeit Tage in Chronos stehen. Das kann nicht stimmen.  war so ehrlich und hat sich gemeldet.;HR Operations Task: check mismatch annual leave days
 , I have an upcoming business trip and I checked to update it and unable to reset it. It is in October and I tried to select the whole trip and saved. I want to remove it and update day to day as every day case. Could you please help me with how to reset the entries in October for the case of Business trip?;HR Operations Task: manual override
 Hallo liebe Leute, ich habe gestern aus Versehen die Art meiner Stundenerfassung in Chronos geändert, allerdings auch wieder storniert.  ihr bitte so nett sein zu prüfen, dass ich auf “Zeiterfassung” stehe?;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
Eine Mitarbeiterin kam auf mich zu.  Sie ist in Elternzeit. Bei ihr waren jetzt wiederholt die Urlaubstage nicht korrekt auf ihrer Abrechnung. Da ich weiß, dass es hier auch mal zu Übertragungsfehlern kommen kann, habe ich sie gebeten abzuwarten, bis die n�chste Abrechnung kommt.  Laut der letzten Abrechnung hat sie alle Urlaubstage genommen.  Auf der Abrechnung hat sie allerdings noch Tage Resturlaub.  das bitte prüfen? Mir geht es nur darum, sonst haben wir im schlimmsten Fall wieder das Thema Resturlaub, wenn sie aus ihrer Elternzeit zurück kommt. ;HR Operations Task: check mismatch annual leave days
 Hallo, in Chronos ist hinterlegt, dass ich noch Resturlaubstage aus dem letzten Jahr mit ins neue Jahr r�bergenommen h�tte. Dies stimmt so jedoch nicht, da ich aus dem letzten Jahr keine Resturlaubstage mehr hatte. ;HR Operations Task: check mismatch annual leave days
Iich versuche gerade meine Dienstreise nach England zu erfassen. Dafür bin ich am Sonntag angereist und war 16 Stunden unterwegs. Wenn ich versuche, das zu speichern, bekomme ich eine Fehlermeldung. Wie gehe ich damit um? ;HR Operations Task: manual override
 Hi zusammen,  könnt ihr bitte bei der Mitarbeiterin Freitag Stunden hinterlegen. Die Mitarbeiterin hat am Freitag eigentlich frei, aufgrund einer Erprobungsvorbereitung war es aus betrieblichen Gründen zwingend notwendig, dass sie dies am Freitag tut.;HR Operations Task: manual override
 Hallo,  ich werden zum austreten, damit habe ich noch meinen vollen Urlaubsanspruch. Leider zeigt das Tool mir weniger Urlaubstage. Meine HR-Betreuerin bat mich, hier ein Ticket zu lösen, da das falsch sei - natürlich sollten da 30 Urlaubstage stehen. Ich bitte das zu korrigieren. ;HR Operations Task: check mismatch annual leave days
 Hallo zusammen, mir werden in Chronos nach wie vor zu viele Tage Urlaub (wenn ich mich nicht verzählt habe) angezeigt. Möglicherweise handelt es sich um die 10 Tage, die ich letztes Jahr bereits bei meinem alten Arbeitgeber in Anspruch genommen habe.  ihr das bitte einmal prüfen? Wird dies korrigiert? ;HR Operations Task: check mismatch annual leave days
 calculation of holydays not clear/ faulty;HR Operations Task: check mismatch annual leave days
 , ich kann leider ab dem kein Gleitzeit mehr anlegen. K�nnt ihr mir bitte sagen warum ?;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hallo,  ist es möglich, bereits vergangene Urlaubstage zu stornieren und durch Gleitzeit zu ersetzen? Es gibt in Chronos zumindest einen Button zum Stornieren des Urlaubes;Nachtr�gliche Umwandlung von bereits genehmigten und genommenem Urlaub in Gleitzeit ist leider nicht m�glich.
 Hi Chronos Team, I wanted to enter my sick leave starting today and ending tomorrow per current estimation.  wanted to use the option Krank < 3 Tage. But when I try to select the respective end date, every option is greyed out. I tried to separately add the second day, but this also fails. The entry Krank < 3 Tage is greyed out. Is this a bug or is there anything missing from my side?  ;Hi, sick leave (<) smaller than 3 days can only be entered that very day or in the past and only for 3 consecutive days.
 I have unplanned holidays and i tried to book those holidays in January next year in cronos. But i am getting an error. I think i can take 10 holidays from this year to the next. why i am not able to book it in Cronos. can you please help me to book it?;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 Hallo zusammen,  folgendes Problem hatte ich schon mal und es wurde von euch h�ndisch gel�st, was nicht zufriedenstellend ist, wenn es beim n�chsten Mal wieder auftaucht  : Am Sonntag, habe ich eine inl�dische Dienstreise (neu) angetreten und muss hierf�r in Chronos 3,5 Stunden Reisezeit eintragen. Die Dienstreise wird bis dauern. K�nnt  ihr mich bitte f�r den Sonntag freischalten, damit ich meine Stunden eintragen kann;HR Operations Task: manual override
 I tried to restart of Brwoser, PC, updated the browser…  ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hallo, ich bin leider während meiner Abwesenheit krank geworden. Die entsprechenden Atteste werden nun ja elektronisch direkt übermittelt. Muss ich die Daten dennoch manuell in Chronos anpassen oder geschieht dies dann automatisch? Geplante Gleitzeittage sind nicht von  betroffen bzw. werden nicht zurückerstattet, korrekt? ;"Hi, prinzipiell sind Krankheiten in Chronos zu dokumentieren. Zudem ist zwischen der 3-Tage-Regelung (Krankheit ? 3 Tage) und einer Krankheit > 3 Tage zu unterscheiden (also noch ein Grund, weshalb die manuelle Pflege in Chronos wichtig ist).

""Bei Krankheit im Urlaub muss ab dem ersten Kalendertag eine Arbeitsunf�higkeitsbescheinigung vorgelegt werden, damit die Urlaubstage dem Urlaubskontingent wieder gutgeschrieben werden k�nnen. Bitte beachte, dass kein rechtlicher Anspruch auf die Gutschrift von Stunden besteht, sofern du an einem vorher beantragten Gleitzeittag erkrankst. Folglich werden dir die Stunden nicht wieder gutgeschrieben.""

Sick leave - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hallo, am und am ist ein Arbeitstag in Chronos erfasst, obwohl die Tage im Rahmen meiner Teilzeit ausgegraut sein sollten. ;HR Operations Task: working time model is defined in SAP as leading and needs to be changed
 Hi, I cannot access Chronos anymore. Could you please tell me what I could do? ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hi together, after your Mail  regarding the annual leave an the planning for the rest of the days I tried to plan the days for next year. In Chronos theres a hint, that I have  0 days which i can plan on the upcoming year (screenshot). ;HR Operations Task: check mismatch annual leave days
 Hallo, ich kann chronos und den ganze HR portal nicht öffnen.;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Dear HR Support, I would like to set my time recording type in Chronos to “Mobile work abroad” for the following days in the current year:  Note that the application for this mobile work from abroad has  approved. I tried it some weeks before, but even then it did not work. I want to set this so that it’s also visible in Chronos.;HR Operations Task: manual override
 Hello all, i was on “Erprobung” from til . Unfortunately i cant commit this in Chronos getting an : System cant handle Updates currently. , i can change the mentioned days to mobile work for example. => Can you please change the days to “Eprobung”;HR Operations Task: manual override
 I just joined the company and accidently chose “Dokumentation“ mode in chronos but for my needs the “Zeiterfassung“ would be correct.  there seems no way back and nothing is really documented at that point, could you maybe reset or change this and let me choose the “Zeiterfassung“?;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
short question about the process to receive the special holidays that are spent by the company on child birth and marriage. For our child I already uploaded the birth certificate document due to the parental abesence. Is this directly used to get this extra day of holiday? Later this year we’re getting married as well.  guess I need to upload a copy as well?  this form “absence and working time management” the way to go? ;"Hi, die Geburtsurkunde l�dst du �ber das ServiceHub unter ""Hand in of Documents"" hoch. Da gibt es einen Document Type, der sich ""Geburtsurkunde Kind(er)"" nennt. In Chronos hinterlegst du bitte ""anlassbezogene Freistellung""."
I accidentially changed my time registration to documentation. Sorry for that. First day after parental leave and I wanted to check my HR details and made this fault. I’ve reversed the change, after I noticed my fault - there was a possibility cancel/reverse the change. Just to be sure as I got an E-Mail of the change with the hint, that it can only be done every 6 months, I want to ask you, if it stays at time registration and did not change to documentation. Thank you very much, ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hallo, ich wollte etwas prüfen und habe wohl versehentlich eine andere Zeiterfassung aktiviert, in dem ich unter  (vwgroup.com) auf Dokumentation geklickt habe. Hier ein Auszug der Bestätigungsemail: Liebe/r CARIDIAN, du hast dich am 26.08.2024 für einen Wechsel von der Zeiterfassung in die Dokumentation entschieden. Dieser Wechsel wird zum 01.09.2024 vollzogen.  beachte, dass du frühestens nach 6 Monaten im neuen Modus erneut einen Wechsel vornehmen kannst. Weitere Informationen rund um das Thema Arbeitszeit findest du im CARIDIAN Intranet. Dein HR Team Das wollte ich jedoch nicht wirklich absichtlich aktivieren. Kann man dies bitte Rückgängig machen?;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hallo Team HR, möchte meinen Urlaub am Jahresende eintragen. Bekomme eine Fehlermeldung. Habe noch gen�gend Resturlaub f�r den geplanten Urlaub. Bitte um Unterstützung;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 Hallo, gibt es in  die Möglichkeit mir die Statistik für meine Arbeitszeit (Office-Zeit, Mobile-Arbeit, Krankheit, Urlaub, etc.) für ein Jahr anzuzeigen? Ich würde diese Informationen gerne für meine Steuererklärung benutzen. Ich hatte jetzt schon selbst in  geguckt, aber nichts dergleichen gefunden.;"Chronos currently does not have an export function unfortunately, but we are working on it. As proof of your office days and days in mobile work, feel free to use your January statement from the following year. Here is a breakdown of exactly how many days you have worked remotely.

You can call up your statements in our self-service. Here you can find the link: Meine Bescheinigungen (vw.vwg)"
 Hallo, offenbar habe ich aus Versehen den Wechsel von der Zeiterfassung in die Dokumentation entschieden. Das wollte ich gar nicht. Leider habe ich das Mail auch nicht vorher gesehen, da ich seitdem im Urlaub war. Gibt es eine Möglichkeit dies wieder rückgängig zu machen.  ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
" Hello HR Team, I received this email: Hello CARIDIAN, we would like to draw your attention to the fact that you are entitled to one day of paid leave due to 10 years of service in the period from . To take this day off, please enter ""Anniversary"" as an absence in Chronos. Registration will only be possible at the beginning of the claim, but feel free to coordinate the day with your manager in advance. If the one day is not withdrawn within the period, the entitlement expires according to �7 of the framework collective agreement.   regards Your HR Operations Team I was on vacation until today and wanted to set the anniversary date to yesterday but I get an error from chronos. Can you tell me how I can use the anniversary day?     ";"Hi, please do not book it as ""occasion-related absence"". The anniversary is treated as an additional annual leave day that can only be booked within a specific time frame."
 Hallo zusammen, ich habe seit mehreren Tagen keinen Zugriff auf Chronos mehr. ( funktioniert noch). Ich bin mit dem VPN verbunden und habe bereits mehrere Browser ausprobiert sowie  gelöscht. Könnt ihr mir weiterhelfen?   ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
ich habe meine Elternzeit geändert. Ursprünglich wollte ich vom bis zum in (Elternzeit-)Teilzeit arbeiten. Das habe ich mit einem neuen Antrag geändert. Jetzt sollte ich im Zeitraum vom  bis zum regulär beschäftigt sein und entsprechend ein Soll von 35h/Woche haben. Chronos geht aber anscheinend noch von anderen Wochenstunden aus;"HR Operations Task: needs correction in SAP as ""Elternzeit"" / ""Parental Leave"" is a SAP leading type"
 Hi,  I am unable to access Chronos. I am getting the attached screenshot whenever I try to log in   ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hallo zusammen,  Besteht die Möglichkeit Chronos über das IPhone zu bedienen? Wenn ja, wie?  ;Hi, Chronos is not optimized for the use on mobile phones
 Bei mir fehlt in BCS der Eintrag für :  in chronos ist er bereits seit einigen korrekt als Dienstreise hinterlegt in BCS kann ich ihn nicht nachtragen vgl. anhängende Screenshots  Was kann ich tun, um diese Abweichung zu korrigieren?  ;"Hi,
leider bieten wir nur die Verlinkung an zu BCS, haben jedoch keinen Einfluss auf die Inhalte. Wende dich daher bitte an internal.project.effort.card.r.all@cariad.technology
Vielen Dank"
 Ich bin an einem Infekt erkrankt und kann den (morgigen) dritten Tag nicht in Chronos eintragen;Hi, sick leave (<) smaller than 3 days can only be entered that very day or in the past and only for 3 consecutive days.
 Hi all,  I thought of taking Bildungsurlaub and both time periods got approved. Unfortunately the courses are by now fully booked so that participation is not possible anymore.  delete the entries of Bildungsurlaub as I cannot do it on my own;HR Operations Task: manual override
 Hi zusammen, Am hatte ich eine Dienstreise in Chronos eingetragen. Den Tag wollte ich nun nachträglich zu Erprobung ändern, da es keine Dienstreise sondern eine Erprobung war. Fehlerhafte Informationen und lange Wartezeiten auf meine Fragen haben dazu geführt, dass ich den Eintrag nun nicht mehr selbst ändern kann. Könntet ihr den Tag auf Erprobung ändern? ;HR Operations Task: manual override
 Hallo HR-Team, in Cronos ist seit dem bei mir keine Aktualisierung (Eintragung) der Stunden möglich. ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 ,   few days my Chronos/HR portal is not available.  screenshot. I already did the “Browsercheck” but that also did not help to fix the issue.  ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Guten Tag, ich kann leider seit nicht mehr auf Chronos zugreifen. Es wird angehängte Fehlermeldung angezeigt. ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 I already worked a long time with Chronos. But now without any reason, m not able to access anymore;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hi, ich hab eine Frage - ist es möglich aus Chronos oder über ein anderes Portal eine Zusammenfassung des letzten Jahres zu bekommen? Also wie viele Tage HomeOffice, wie viele Tage im Büro, auf Erprobung etc.? Wäre sehr hilfreich für die Steuer. Hier hab ich bisher leider nichts gefunden. ;"Chronos currently does not have an export function unfortunately, but we are working on it. As proof of your office days and days in mobile work, feel free to use your January statement from the following year. Here is a breakdown of exactly how many days you have worked remotely.

You can call up your statements in our self-service. Here you can find the link: Meine Bescheinigungen (vw.vwg)"
 Hallo Zusammen, die Chronos und HR Portal Seite funktionieren nicht bei mir. Ich kann meine Zeiten leider nicht einsehen.  ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hallo ich hab das Problem das in chrome bei mobiler Arbeit die Stunden standardmäßig mit einer anderer Std eingetragen werden.     ;HR Operations Task: working time model is defined in SAP as leading and needs to be changed
 Hallo, ich bin in Berlin angestellt aber habe in  einen Feiertag aus Bayern eingetragen. ;HR Operations Task: working time model is defined in SAP as leading and needs to be changed
 Ich erhalte beim Buchen meines Urlaubs eine Fehlermeldung, obwohl eigentlich genug Tage vorhanden wären.  ;Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works. You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons.
 Dear all,  unfortunately BY mistake in Chronos i clicked the buttom to switch from Documentation to Time Recording . I received an email that the change will be done from However, I want to stay at documentation . I pressed the buttom to reset the change but didn’t receive any email confirmation. Could you please be so kind and check centrally and adjust if needed? I want to stay at documentation also from  onwards. I apologize for any inconvenience and hope for your support. , ;"Hi, Chronos just doesn't automatically change from the ""time recording"" mode to the ""documentation"" mode. You have to actively initiate a switch from ""time recording"" to ""documentation"". A little screen then pops up and asks you if you really want to change the mode. So you have to click on ""change mode"" before the mode switches. ""You can switch between time recording and documentation mode every 6 months on the first day of the month. If you switch to documentation, your flexi time account will be frozen.""

Unfortunately we can't manually change the setting back to ""time recording"" mode once you've initiated a change. You have to apply for the ""time recording"" mode in Chronos again and wait for the 6 months period to pass.

You can find more information on the intranet page:

Chronos Absence and working time management - Cariad Net - Group Wiki (volkswagen-net.de)"
 Hallo Zusammen,  ich bin im April von München nach Braunschweig gezogen. Aktuell sind immer noch die bayrischen Feiertage in Chronos enthalten. Bsp. der Feiertag morgen Um dei Stunden korrekt zu schreiben, sollten die Feiertage raus aus Chronos. Viele Grüße, ;HR Operations Task: working time model is defined in SAP as leading and needs to be changed
 Via MS Edge: https://hr.portal.prd.eu.bp.aws.cloud.vwgroup.com/time-management/ Kommt bei mir die Fehlermeldung: Hmmm...diese Seite ist leider nicht erreichbar Die Antwort von hr-portal.auth.eu-west-1.amazoncognito.com hat zu lange gedauert Ist der Fehler bekannt?  ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
